Headline,Body ID,Stance,Class
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,agree,1
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,agree,1
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,agree,1
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,agree,1
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",295,agree,1
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,agree,1
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,agree,1
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,agree,1
Student accidentally sets college on fire during fireworks proposal,1592,agree,1
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,agree,1
Indian civil servant sacked 'after 24-year sickie',2441,agree,1
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,agree,1
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,agree,1
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1818,agree,1
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,agree,1
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2115,agree,1
Met police denies reports of Banksy arrest,949,agree,1
Video: Marine saved by helmet after Taliban sniper attack,488,agree,1
Vogue’s Rat Infestation: Disturbing New Details,2064,agree,1
Video: Marine survives Taliban sniper headshot thanks to helmet,2046,agree,1
Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,agree,1
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2061,agree,1
British hostage David Haines beheaded by Islamic State terrorists,2206,agree,1
"Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge",1058,agree,1
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,agree,1
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1580,agree,1
"Despite no Ebola case in Kansas City, the rumor goes viral",1943,agree,1
Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems,1148,agree,1
Man who skipped work for 24 years is finally fired,1951,agree,1
Michael Phelps’ alleged girlfriend says she was born intersex,1349,agree,1
Scientists Doubt That Meteor Caused Crater In Nicaragua,2475,agree,1
URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,969,agree,1
"No, that high school kid didn't make $72 million trading stocks",2407,agree,1
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1084,agree,1
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1958,agree,1
Mum Offers to Sell Twin Boy to Save Twin Girl,1627,agree,1
Cold Turkey,1949,agree,1
Soldier shot at War Memorial; multiple shots fired in Parliament,2156,agree,1
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1374,agree,1
God Is A Woman – Resurrected Father Narated,1849,agree,1
Matt Taibbi on leave of absence from First Look Media,879,agree,1
"Managua explosion not a meteorite, NASA suggests",1213,agree,1
What One Homeless Man Does with $100 Will Astonish You (VIDEO),2305,agree,1
Breaking: Soldier shot at National War Memorial in Ottawa,1089,agree,1
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1959,agree,1
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,458,agree,1
Ottawa shooting: Slain soldier named as Nathan Cirillo while suspect identified as Michael Zehaf-Bibeau,1380,agree,1
Priest who died for 48 minutes says he met God and she’s a woman,1008,agree,1
The baby from Teletubbies reveals herself,2076,agree,1
Her Majesty’s magic mushrooms,2424,agree,1
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2450,agree,1
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",2524,agree,1
WTC rats scare off Anna Wintour,1045,agree,1
Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,2326,agree,1
"Explosion reported near the Nicaraguan capital attributed to meteorite impact, but experts, including NASA, cast doubt on claims",1594,agree,1
"No, Saudi TV Didn't Blur Out Michelle Obama's Face When the President Met King Salman",343,agree,1
Real-life Magneto boy 'becomes living magnet' after getting massive electric shock from street lamp,2215,agree,1
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",1831,agree,1
"No, that broken pencil illustration isn't by Banksy",2375,agree,1
A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament,321,agree,1
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",2043,agree,1
